page,section,qnumb,question,isbn
28,1.A,1,"Suppose $a$ and $b$ are real numbers, not both $0$. Find real numbers $c$ and $d$ such that \[ 1 /(a+b i)=c+d i \]",978-3-319-11079-0
28,1.A,2,Show that \[ \frac{-1+\sqrt{3} i}{2} \] is a cube root of $1$ (meaning that its cube equals $1$ ).,978-3-319-11079-0
28,1.A,3,Find two distinct square roots of $i$.,978-3-319-11079-0
28,1.A,4,"Show that $\alpha+\beta=\beta+\alpha$ for all $\alpha, \beta \in \mathbf{C}$.",978-3-319-11079-0
28,1.A,5,"Show that $(\alpha+\beta)+\lambda=\alpha+(\beta+\lambda)$ for all $\alpha, \beta, \lambda \in \mathbf{C}$.",978-3-319-11079-0
28,1.A,6,"Show that $(\alpha \beta) \lambda=\alpha(\beta \lambda)$ for all $\alpha, \beta, \lambda \in \mathbf{C}$.",978-3-319-11079-0
28,1.A,7,"Show that for every $\alpha \in \mathbf{C}$, there exists a unique $\beta \in \mathbf{C}$ such that $\alpha+\beta=0$.",978-3-319-11079-0
28,1.A,8,"Show that for every $\alpha \in \mathbf{C}$ with $\alpha \neq 0$, there exists a unique $\beta \in \mathbf{C}$ such that $\alpha \beta=1$.",978-3-319-11079-0
28,1.A,9,"Show that $\lambda(\alpha+\beta)=\lambda \alpha+\lambda \beta$ for all $\lambda, \alpha, \beta \in \mathbf{C}$.",978-3-319-11079-0
28,1.A,10,"Find $x \in \mathbf{R}^{4}$ such that \[ (4,-3,1,7)+2 x=(5,9,-6,8) . \]",978-3-319-11079-0
28,1.A,11,"Explain why there does not exist $\lambda \in \mathbf{C}$ such that \[ \lambda(2-3 i, 5+4 i,-6+7 i)=(12-5 i, 7+22 i,-32-9 i) . \]",978-3-319-11079-0
28,1.A,12,"Show that $(x+y)+z=x+(y+z)$ for all $x, y, z \in \mathbf{F}^{n}$.",978-3-319-11079-0
28,1.A,13,"Show that $(a b) x=a(b x)$ for all $x \in \mathbf{F}^{n}$ and all $a, b \in \mathbf{F}$.",978-3-319-11079-0
28,1.A,14,Show that $1 x=x$ for all $x \in \mathbf{F}^{n}$.,978-3-319-11079-0
28,1.A,15,"Show that $\lambda(x+y)=\lambda x+\lambda y$ for all $\lambda \in \mathbf{F}$ and all $x, y \in \mathbf{F}^{n}$.",978-3-319-11079-0
28,1.A,16,"Show that $(a+b) x=a x+b x$ for all $a, b \in \mathbf{F}$ and all $x \in \mathbf{F}^{n}$.",978-3-319-11079-0
34,1.B,1,Prove that $-(-v)=v$ for every $v \in V$.,978-3-319-11079-0
